wj;I
Hmn;Upper lip
Hmn;Top
Hmn;rock tomb, burial site
Hmn;flood
Hmr;way
Hmr;sky
HmHm;roof of the temple
HmHm;Cake
HmHm;part of a sun sanctuary
Hms;offering table, altar
Hms;travel to land
Hmst;Eyes of Horus
Hms;lump
Hms;Epithet of Horus
Hms;Faces = people
Hms;Chickpea
Hmst;Bread or cake
Hmst;club or scepter
Hmst;Name of the sun god
Hmst;Middle
Hms=f;Chest
Hms-waw;Middle hall
Hms-m-wHa;pitch camp
Hmsj;control back
Hmq;immediately
Hmkt;jewelry
Hmtj;arbitrary
Hmtj;Antinö
Hmtjj;nickname of the month
HmD;outside
Hn;Epithet of Horus
Hn;Name of Horus
Hn;why?
Hn;Sphinx of Gize
Hn;to be devoted to someone
Hn;bird pond in poultry yard
Hn;<<as an adverb>>
Hn;to be faithful to someone
Hn;at
Hn;misfortune
Hn;all people
Hn;epithet of Sachmet
Hn;because
Hn;whole
Hn;whole
Hnt;outside
Hnt;Dean
Hnt;situated in front of something
Hnt;dissatisfied face
Hnt;in
Hnt;behind, after
Hnt;sealed
Hnt;at
Hnt;behind, after
Hnt;after
Hntj;the day after
Hntj;why?
Hntj;in the service of
Hntj;be in prosperity
Hntjj;God's name
Hnw;all
Hn-anxw;planet Saturn
Hntj-nHH;next to
Hntj-Dt;injustice
Hnjt;next to
Hna;prevail
Hna;on something
Hna;completely
Hna;ruling over
Hna;Top
Hna;part of the head
Hnaw;pyramid plateau of Giza
Hnw;moving away
Hnw;fly to the sky
Hnw;scare someone
Hnw;waters
Hnw;Supreme
Hnw;fright
Hnw;melting furnace
Hnwt;under plants in the attic
Hnwt;Plank of the ship
Hnwt;excrement
Hnwt;that is above that is in the east
Hnwt;cover
Hnwt;excrements
Hnwt;designation of the stars
Hnw n djt sgnn;edible poultry
Hnww;"Gentlemen, superiors"
Hnwt-bjn;Ships
Hnwt-mnjt;Ornament of an architrave
Hnwj;Designation of the Bedouins
Hnwjt;designation of the moon
Hnb;located in the center
Hnb;chisel
Hnb;dean
Hnb;Stable chief
Hnb;Evil, residue
Hnb;Missing
Hnbt;Child
Hnbt;Child
Hnbt;Administrative title
Hnbtt;Sun god
Hnbtt;official title of the temple of Ptah
Hnbw;old title
Hnb-AHt;Colonel of troops
Hnb-n-msn;ship
Hnb-tA;heart
HnbAA;title of a royal official
HnbAbA;chief goldsmith
HnbAbAt;Chief boatswain
HnbAs;Successor
Hnbw;Hippopotamus
Hnbwt;Superior of court
Hnbb;Worm, snake
Hnbb;Osiris on the stretcher
Hnp;Bread
Hnpt;name of Anubis
Hnf;female bovine
Hnmt;heart
Hnmw;throne holder
Hnmmt;bovine
Hnmnm;privy council
Hnmnm;garden at temple
Hnmnm;Title
Hnn;scarf of fine cloth
Hnn;the provision distributor
Hnn;on earth living
Hnn;located on
Hnn-nswt;Top
Hnnt;big beam
Hnr;Top
Hnr;Uraeus snake
Hnr;Headdress
Hnr;hair
Hnrjj;solid ground
Hnrg;hornless bovine
Hnrg;Epagomena
HnH;top
HnHn;apart from
HnHn;horror
HnHn;Drink
HnHn;drink from shredded fruits
HnHnt;sickness in the abdomen
HnHnd;malediction
Hns;Sword
Hns-jb;God
HnswA;roar
Hnsk;official used
Hnskt;Eye disease
Hnsktj;Flower
Hnskjt;Snake
Hnq;goddess
Hnq;all worms
Hnq;visceral worms
Hnq;insect on rotten meat
Hnq-nww;rejoice
Hnk;guard, herd
Hnk;carnelian, carnelian
Hnk;carnelian
Hnk;eyes turn angry red
Hnk;duck
Hnk;flood
Hnk;flood water
Hnk;million
Hnkt;subdivision of a phylum
Hnkt;ears
Hnkt;search
Hnkt;go
Hnk(w)t;primordial deity
Hnkjt;female primordial deity
Hnkjt;flock of sheep
Hnkw;bottle
Hnkwt;favor
Hnkst;part of arms
Hnkstj;favor
Hnkstj;excrement, feces
Hnkstjt;gossip
Hng;singing, song
Hng;singer
Hngg;wood for shipbuilding
Hngg;subdivision of a phyle
HntA;singer
HntA;God
HntAsw;palette of the scribe
Hntj;Copper slag
Hntj;Type of spinning
Hntj;Name of the sycamore
Hntj;Singing praises?
Hntj;Nile god
Hntjw;slime
Hntwj;grim
Hntn;be around something
HnTj;divine cow
HnTtjw;thread
HnDAt;in {HsA-wr}, a kind of bird
Hr;bird
Hr;cover, close
Hr;waters in the sky
Hr;fermented dough
Hr;officially used
Hr;praise
Hr;the one distinguished by statuary foundation
Hr;go to
Hr;waters
Hr;Praised
Hr;favorite
Hrt;sing
Hrt;freeze
Hrt;Freezing
Hrt;frost
Hrt;Blessed
Hrt;thank someone
Hrt;be brave
Hrt;Praised
Hrt;Praised
Hrt;favor
Hrt;spell to protect on water
Hrtj;Pledged
Hrtj;favor, reward
Hrtt;Part of the fish net
Hrj-nxbt;break
Hrw;Break
Hrw-bjk;draw
Hr=f;cross dressing
Hr=s;quarter aure
Hr-Axtj;calculate
Hr-jb;people
Hrt-jb;slaughter
Hrt-jb;Market
Hr-jmAw;Charged
Hr-a;Knife
Hr-a;Worms in body
Hr(t)-a;bill
Hr-abw=f;square fields, to draw on ground
Hr-wr;servant
Hr-wsrtj;count, calculate
Hr-bnr;land covered with plants
Hr-bHdtj;container of Osiris image
Hr-pA-bjk;bed
Hr-m;cannibal demon
Hr-m-Axt;sodium bicarbonate
Hr-mw;clean
Hrt-mw;menstruation, menstruate
Hr-mrtjj;from sucking milk by child
Hr-mHj=f;bronze
Hr-mtr;semi-precious stone
Hr-n-Hr;bad condition
Hr-nb;Menstruating
Hrt-nqf;name of the sun god
Hr-ntt;meal
Hr-ndb=f;red sodium bicarbonate
Hr-ndbwt=f;watering jug
Hr-rwt;arm
Hr-rmn-sAH;divine cow
Hr-xft-Hr;necropolis of Hermopolis
Hr-xn;Arm
Hr-xntj;praised, approved
Hr-xt;device
Hr-xt;cut off, abhaün
Hr-Xrw;Sick
Hr-sA;Knife
Hr-sA-jrj;Cut off
Hr-sA-dwAw;eat something
Hr-sj-jSst;Osiris priest in Abydos
Hr-sdf;Designation of a nobleman
Hr-sDAs;stone as material for anointing vessels
Hr-qAt=f;to close with a rope S 16
Hr-qd;irrigated field
Hr-kA-pt;beer
Hr-gs;toad-shaped goddess
Hr-gs;beer
Hr-gswj;beer
Hr-tp;rule
Hr-tp;capture
Hr-Drw;ruler
Hrj;patron god of Osiris
Hrj;scepter
Hrj;ruler
Hrj;rulership
Hrj;Goddess, Uraeus
Hrj;Uraeus
Hrj;name of a priest
Hrj;bushel, {HqAt}-measure
Hrjt;Designation of the sun god
Hrjt;Name of Osiris
Hrjt;Village marshal
Hrjt;City ruler
Hrjt;Hyksos
Hrjj;gau prince
Hrjj;princely flower
Hrjj;precious stone as material for beads
Hrjjt;slaughter
Hrjw;starve
Hrjw;hungry
Hrjjw;hunger
Hrjw-mw;famine
Hrjjw-sA;God
Hrjw-Sa;Hungry
Hrj-jAbt;Famine
Hrj-jb;Ferryman in the sky
Hrjj-jb;God
Hrj-jb-wjA;Bread
Hrj-jHw;Activity of the mouth
Hrjt-a;be provided
Hrjt-a;Spell
Hrjj-a;spell
Hr(jj)t-a;to enchant someone
Hrj-wDb;spell book, note with spell
Hrj-bA;wizard
Hrj-bsntj;name of the crown of Upper Egypt
Hrj-p;magic
Hrj-pDt;officially used
Hrjt-mw;exult, praise
Hrj-mkt;from the dead doing something with bull of the west
Hrj-mTHs;officially used
Hrj-nbjw;precious stone from Nubia
Hrj-nfw;door lock
Hrj-nst;officially used
Hrj-ntj;God
Hrj-rjt;noun
Hrj-Xt;divine snake
Hrj-Xt=f;the one impregnated with life
Hrj-Xt=f;the one who is worshipped
Hrj-Xt=f;praise
Hrj-st;one of the 7 sacred oils
Hrj-st;anointing
Hrj-st-wrt;name of the grain
Hrj-sA;noun
Hrj-sStA;swallow
Hrjt-S;door hinges
Hrj-SAjt;Vessel
Hrjj-qaHt;joy, feast
Hrjj-kA;feast
Hrj-tA;Vessel
Hrj-tp;Fairground
Hrj-tp;Throat
Hrj-tp;handle
Hrjt-tp;do something with hairstyle
Hrjt-tp;parts of the eye
Hrjt-tp;noun
Hrjt-tp;something on the ship wood in official use
Hrjj-tp;dirty
Hrj-Dba;liquid
Hrjw-rnpt;stain
Hrw;sail
Hrw;sails
Hrw;Siege device
Hrw;Collar closure
Hrw-a;Wood
Hrw-TAw;Smoke
Hrwr;what covers groove
Hrp;Sail
Hrn;throat
Hrr;Designation of the lung
Hrr;Step
Hrr;bed
Hrrt;traürn
Hrrt;mat with bread
Hrrt;food
Hrrt-nbt;be satisfied
Hrrw;downfall
Hrrt;mercy
HrHr;peace
HrHr;pacified
Hrst;designation of the blessed dead
Hrst;God
Hrst;Basket
HrT;Flowers
HH;Incense
HH;blood
HH;evil act
HH;offering table
HHwj;food
HHj;peace
HHj;priestess
HHw;female genital
HHwt;bread
Hst;covenant
Hst;station, stop
Hst;sacrificial
Hst;good weather
Hstj;how satisfied
Hs;excrements
Hs;food basket
Hst;sacrifice to God
Hst;to be devoted to someone
Hstt;designation of excrement
Hs(t);Sacrifice of the dead
Hsw;Gracious
Hsw;priest
Hs-a;Furniture
Hs-bjA;Gracious
Hst-nwt;Gracious
Hs-nfr;measure, part of the {itrw}
Hs-tjA;Waters in the sky
HsA;provided with
HsA;destroy
HsA;eradicate
HsA;annihilator
HsAt;designation of the serpent hostile to the sun god
HsA;designation of the hippopotamus as enemy of Horus
HsA;mineral substance
HsA;material for beer vessel
HsA;island in the realm of the blessed
HsAw;wild animal in Syria
HsA-n-awAj-t;from a goddess
HsA-n-Sbb;beam
Hsj;the completed place = the hereafter
Hsj;name of Apophis
Hsj;mouths silenced
Hsj;goddess with knives
Hsjt;place of judgment
Hsjtj;evil beings in underworld
Hsj;female divine person
Hsj;place of execution in underworld
Hsj;twin
Hsj;team of cattle
Hsjw;team of horses, horses
Hsj-ra;door reveal
Hsj-Hr;make liable to interest
Hsjj;tax, levy
Hsw;rope, cord
Hsw;tie together,
Hsw;designation of the Horus spear, of Horus
Hswt;birdcage
Hswt;Designation of the Natron
Hsw;hinge, connection
Hsb;Tax collector
Hsb;tie together
Hsb;symbol that king hands to god
Hsb;complete
Hsb;precious stone from Nubia
Hsb;bury
Hsb;celebrate feast
Hsb;sacred barque in the gau of Elephantine
Hsb;plant
Hsbt;bread
Hsbt;pickle, barter
Hsbt;stone
Hsbw;hyena
Hsbw;quarry
Hsbw;Bread
Hsb-Tnwt;bread
Hsp;morbid condition of the heart
Hsp;name of two goddesses in Heliopolis
Hsp;bread
Hsmwt;put net
Hsmn;rat-like animal
Hsmn;lift someone up
Hsmn;armpit, shoulder
Hsmn;mast shoe
Hsmn;epithet of a miller
Hsmn;span something
Hsmn;go limp
Hsmnt;the shining one = the sun disk
Hsmnw;prostrate
Hsmnw;heap of beaten enemies
Hsmn-dSr;disease
Hsmnjj;cut off
Hsr;kill
Hsrt;attack
Hsrt;door
Hsr-a;goddess in scorpion shape
Hsst;god
Hss;club
Hsq;white, bright
Hsq;break open when light
Hsqt;light
Hsqw;silver
Hsk;chapel
Hskw;bone
Hskj;Goose
Hsg;jaw
Hstj;white leather
HS;water in delta
Hqt;damage
Hqt;daylight
Hqt-nDAdAj;white cloth
Hqt-xs;epithet of goddesses
HqA;white, upper egyptian crown
HqA;white in the eye
HqA;drink
HqA;jug
HqAt;plant
HqAt;Garlic
HqAt;officially used
HqAt;officially used
HqAt;Name of the hippopotamus
HqAt;Bovine
HqAt;white sandals
HqA-Axtj;silver
HqA-jmAx;glad
HqA-nwt;monkey shaped god
HqA-Ht-aAt;name of a chapel
HqA-xAswt;silver processing
HqA-spt;hierakonpolis
HqAjjt;friendly
Hqm;it is in session
Hqn;morning
Hqr;dirt
Hqr;name of Osiris
Hqr;destroy, harm
Hqr;goddess
Hqr;slaughter
Hqrt;device in ship
Hqrw;west wind
Hqrr;onions
Hqs;official used
Hqq;Name of milk
Hqq;Light
Hqq;Sun god
HkA;fabric
HkA;lamp
HkA;be unwilling
HkAt;unwilling
HkAw;be unwilling
HkAw;be unwilling
HkAwt;Romp
Hkwn;Hyena
Hkn;worms eating corpse
Hkn;Product
Hkn;Hyena
Hkn;Drink
Hkn;Solid
Hkn;shine
Hknw;Light
Hknw;Designation of Horus
Hknw;Designation of the eyes of the sun
Hknwtt;bird, equated with Isis
Hknt-m-anx;Light
Hknjj;Light
Hknw;God
Hknw;epithet of Anukis
Hknwt;to be young
Hkr;youth
HkHk;little girl
Hkk;thing
Hkk;fire
Hg;drop
HgA;fire breathing snake
HgAjw;Fiery
HgAw;?
HgAw;type
Hgg;protect
Hgt;Shell
Ht;leaf of the lotus
Ht;thousand
Ht;god
Htt-nt-jnj;to be young
HtA;washing activity
HtAt;name of the dead
HtAw;something that counts d dead when entering d heaven
HtAw;Hall
HtAwt;waters in the sky
HtAT;hoe
Htj;bend before someone
Htj;small hollow
Htj;way
Htj;shell
Htj;gatekeeper
Htj;waters
Htjt;collar
Htjt;headscarf of the king
Htjt;divine being
Hta;Leaves of the lotus
Htb;decan stars
Htp;herbs
Htp;fragrant substances from Punt]
Htp;Accessories of the lamp
Htp;place in underworld where dead is punished
Htp;place in underworld
Htp;field, field mass
Htp;Necropolis near Dendera
Htp;disease
Htp;examine
Htp;weigh, measure
Htp;measuring line
Htp;mass
Htp;king's headscarf
Htp;part of ship
Htpt;Sick
Htpt;drink
Htpt;disease
Htpt;bloodbath, pile of corpses
Htpt;altar
Htpt;Pot for milk
Htpt;Grain weighing hall
Htpt;Fish
Htptjw;Shadow
Htpw;hall, yard
Htpwj;throw
Htp-wr;urinate
Htp-n-wnm;flower
Htp-nTr;morbid condition
Htp-Hr-mw;depression filled by the flood
Htp-kA;turn back after
Htp-dj-nswt;leave unfinished
Htpj;throwing machine in war
Htpj;fighting gods
Htpj;pieces of meat as sacrifice
Htpjt;grain knife
Htpjw;crush
Htpt;skin and waste of small animals
Htm;Bowl
Htm;Wig
Htm;Fur
Htm;Sacrificial plate
Htm;Copper utensil
Htm;Tree
Htm;Evening
Htm;Evening walker
Htm;Drink
Htmt;grain cradle hall, weighing hall
Htmt;race, to be in rapture
Htmt;hippo
Htmt;to be stooped in awe
Htmt;neck
Htmtj;part of the chariot
Htm-rAw;stars
Htmjt;lamp
Htmjt;shine
Htmjw;fighter
Htmwt;ibis-headed god
Htmm;bird
Htr;city in Lower Egypt
Htr;verb
Htr;shadow
Htr;cast
Htr;Noun
Htr;Board
Htr;Part of the temple
Htr;dog
Htr;eat
Htr;food
Htr;bend
Htrt;Tree
Htrw;Noun
Htr-wAt;troops
Hts;serve quickly
Hts;piece of meat
Hts;part of the dump palm fruit
Hts;variety of the dump palm
Hts-Hb;Goose
Hts-Xnmw;chisel
Htt;widow
HT;Alley
HT;Syria
HT;Syrian
HT;waters
HTt;be fast, go fast
HTt;fish spear
HTt;the fast
HTA;hasty
HTA;striding hurriedly
HTAtj;worfeln
HT(A)t;fields beyond
HTn;itch
HTs;chisel
HTT;primordial waters
HTTt;with difficulty
HTTt;Noun
Hdt;mountain country, foreign country
Hdj;Pool
Hdj;barbarians
Hdjj;plant
Hdb;Disease
Hdbjt;disease
Hdbw-nw-mwjt;spare someone
Hdq;ichtneumon
Hdg;pluck
Hdg;dull
Hdg;to be fragmented
Hddt;dough to bread
HdD;monument
HD;form
HD;the recipient = the demiurge
HD;child
HD;be high
HD;height
HD;high field
HD;flood
HD;air
HD;oh!
HD;like
HD;windbreak
HD;Height
HDt;sky
HDt;goddess who raises the sky
HDt;as well as
HDt;high-minded
HDt;plant
HDt;destroy
HDt;mound of earth
HDt;Firm
HDt;Knäül for yarn
HDt;Hoe
HDt;primary mound
HDt;equipment
HDt;public feast
HDtj;troop
HD m HD;sothis rise
HD-jb;priest title
HD-wr;title
HD-pAar;rise
HD-n-arf;give birth
HD-nxn;designation of the sun god
HD-Hr;crown
HD-tA;sacred serpent of Kynopolis
HD-tA;name of Hathor
HDAj;daily intake
HDj;house
HDj;appearance
HDjt;Rise
HDjt;Rise of the stars
HDjt;Crowns
HDjj;Name for crocodile
HDw;Punishment place for evil
HDw;neck
HDw;to become angry, to
HDwt;enemy down
HDwtj;device
HDwj;be freed from
HDwjt;fan
HDn;protection
HDn;flower o ä for wreaths
HDnn;part of the dead enemy that snake eats
HDnHDn;liberation from tributes
HDnDn;goddess
HDr;palace of the king
HDr;sky
HDr;one of the gates in the afterlife
HDrt;Protective gods
HDrt;Fish
HDdt;pieces of meat
HDdwj;Title of Kom Abu Billo
HDD;title of Osiris
HDD;to be freed from taxes
HDDtj;walking quietly
HDDjjt;copper
HDDwt;priest title
HDDwj;protect
HDDtw;goddess of Athribis
HDDdnt;frond
x;make independent
x;evil actions
xt;drink
xt;prick, poke
xt;bad property
xt;drink of the gods
xtj;young man of the army
xtt;fellow gods of Hathor of Dendera
xt sTst;fellow gods of Hathor of Dendera
xw;ship
xw;slaughter
xA;slaughter
xA;baün
xA;paint brick
xA;something built in quarry
xA;fill vessels
xA;to be rich, to make rich
xA;rich
xA;wealth
xA;catch with landing net
xA;sedan chair
xA;Carrying chair
xA;Fisherman
xA;Dancer of a god
xA;dress
xA;hippo
xAt;execute
xAt;chop
xAt;loss of mass
xAt;mountain in the hereafter
xAt;execution site
xAtt;fire
xAw;arrow
xAw;chop
xAw;loss of measure
xAw;to defy someone
xAw;dance
xA-bjn;earnings, income, revenue
xA-n-bjn;to defy
xA-tA;sacred barque of Hathor in Dendera
xA-dj;dance
xAj;diminish
xAj;chop
xAj;collect gifts
xAj;dancers
xAj;carnage
xAj;collect gifts
xAj;officially used plant
xAj;Carnage
xAj;Vessel for myrrh, ointments u a
xAjt;Commit crimes
xAjt;Crime
xAjt;Criminal
xAjt;with criminal character
xAjj;Business
xA(jj);pastry
xAjbt;slurp something
xAjjtjj;something to walk on badly
xAa;vessel for myrrh and ointment
xAa;enter
xAa;cut into pieces
xAaw-n-Hmt;god
xAa-mH;dick
xAa-HA;lamp
xAa-Hr-wAt;shine
xAaa;chop, hack up
xAtjw;field, acre
xAw;rut water
xAw;violence
xAw;offender
xAw;bird
xAw;Bearded
xAw;goddess
xAwt;name of a god
xAwt;Part of the human body
xAwt;Hoe
xAw-sxt;Beard of gods
xAwj;Narrowing
xAwj;Punish evil
xAwj;name for Apophis
xAwj;execution
xA(w)jj;blame, hate
xAwt;censure
xAb;bad characteristic
xAb;secluded
xAb;throw
xAb;small bird
xAbA-s;noun
xAbAs;haunted dead
xAbAs;go
xAbb;die
xAbs;sun god
xAbs;sun with uraea
xAbs;Noun
xAbs;noun
xAbst;die
xAp;passing away
xAp;Goddess in Osiris retinue
xAp;eye disease
xApw;enemy
xAf;strange
xAf;strange sayings
xAff;strange
xAm;flowers in the swamp
xAm;grains of a myrrh species
xAmw;name of the sun beetle
xAmw;Fish
xAmm;become, arise, happen
xAn;Being
xAnft;Dendera
xAnn;Noun
xAnnt;Event
xAr;creation
xAr;now living
xArt;Created
xArw;product of the Wadi Natrun
xArw;growing up as a child
xArwj;sacred barque
xArwT;children
xAx;sun god as beetle
xAx;snake
xAxw;in official use
xAx-jb;deity
xAx-nmtt;farmland in the gau of Thebes
xAxA;8 hour of the day
xAxA;beetle
xAxA;blue crown
xAxAwt;Foreleg
xAs;Constellation of the Great Bear
xAs;Arm, power
xAst;Sickle sword
xAs;conquer with sword
xAst;workshop, weapon forge
xAsw;Craftsman
xAstjw;name of the demiurge
xAsjt;heavily armed
xAsf;name of egypt
xASA;to be angry, to be annoyed
xAtb;rear end
xAtrw;rounded part of something
xAd;ingredient of an incense
xAd;see
xAd;lighten something
xADw;enemy
xADAjw;meal
xADt;shore, shore
xj;grab, seize
xj;fist
xj;bundle of arrows
xj;pastry
xj;epithet of snakes
xj;fish
xj;fruits
xj;pour
xj;damage
xjt;outflow, discharge
xjt;points of origin
xjt;blow
xjt;face
xj    xj;in front of someone
xj-HAt;when
xjj;offer
xjxj;in front of
xa;enemy
xa;enemyin
xa;located in front of
xa;forecourt of the temple
xa;before
xa;rear
xat;become too dry
xaw;Dusty
xa-aA;powder during kyphi preparation
xa-aAt;hot
xa-n-spdt;waters near Herakleopolis
xa-rA;not know
xa-xnt;Ignorant
xaj;cult site
xaj;Letopolis
xaj;valuable metal
xaj;images of gods
xaj;Images
xajt;Name of Seth
xajt;do not know
xajt;God of Letopolis
xajjt;topple houses
xaa;evil female being
xaw;punishing goddess
xaw;consume, eat
xaw;evil
xaw;evil being
xam;sand fly
xar;catch
xar;tear off
xar;stone worker
xw;land name
xw;handle
xw;acreage
xw;Stone worker
xw;Dust
xwt;Designation of the enemies of Egypt
xwt;consume, eat
xwt;noun
xwt;Eightweave
xwtt;God
xwtjw;eightness
xww;ship
xww;eight
xw-wAD;8 primal gods of Hermopolis
xw-bAq;Hermopolis
xw-mk;verb of movement
xw-rd;three
xw-Dt=f;triple
xw-Dsr;trident
xwj;stab
xwjt;part of the barque
xwjt;drink
xwj-mkj;consider
xww;the recipient = the demiurge <<well {xi} to read>>
xwwj;the three
xwn;liquid
xwn;third
xwnt;third month of a season
xwnw-nfrw;assistant of someone
xwn=sn;medical treatment
xwns;number 3
xwrr;liquid
xwxt;act of violence
xws;choral singing
xws;make music
xwsj;bring gifts
xwsj-Dbt;arm stirring
xwsw;Rebel
xwtjj;Abomination
xwd;speech
xwd;foolish
xwd;Name of the grave
xwd;epithet of goddesses
xwd;Extra gift
xwdt;<<in {tp-xnt} "arbiter">>
xwDw;Goddess
xb;Persons who do something with grain
xb;Evil
xb;Boast
xb;Alternate chant
xb;Name of the Ihi
xbt;Precious
xbt;Jubilant song
xbt;Last
xbt;float down
xbt;dancing
xbA;music making dancers
xbA;singing
xbA;resting place
xbA;evil; damage
xbA;god
xbA;musician
xbAtw;18 day of the lunar month
xbAt;Bag carrier
xbj;Child
xbj;Resting place
xbj;Dorsal fin of synodontis << DrogWb p 558 reads {tnw}>>
xbj;Castanets
xbjt;musician
xbjt;stinging insect, mosquito
xbj-jnw;heart disease
xbw;rob
xbb;inhale
xbbt;drink water
xbn;pastry
xbnt;bull-headed god
xbntj;designation of the gazelle as the beast of Seth
xbn-qd;drink water
xbr;flood water
xbrr;plant
xbx;snake
xbxb;pastry
xbxb;scale
xbxb;presumption
xbxb;aggressive
xbxb;fire
xbst;Cake
xbs;cake
xbs;smell
xbs;delight
xbs;friend
xbs;treat someone with ointment
xbs;wait child
xbs;guardian of a child of the gods
xbs;noun
xbstjw;harlot
xbst-wrt;kiss
xbs-tA;wet nurse
xbsjt;red gem from Nubia
xbsjt;spoiled grain
xbswt;fountain
xbt-rA;jug for water
xbtj;harlots
xbtj;nostrils
xbtjw;guardian of a god child
xbd;raise child
xbdt;keeper
xbD;smell
xp;befriend
xp;friendship
xpt;friend
xpt;beer
xp-jmj-tA;mosquito
xpj;Friend
xpj;Sachmet epithet
xpj;poultry
xpj;imprison
xpjt;prisoner
xpjt;offender
xpj-n-kA=f;harem
xpjw;reins
xpjw;metal tool
xpw;tooth
xpp;scatter
xpp;refuse hand
xppw;become hoarse
xppwt;fruits
xppwj;name of Apophis
xppwj;prison
xpn;harem
xpnpn;lady of harem
xpr;prisoner, enemy
xpr;Noun
xpr;part of armor
xpr;fortified place
xprt;verb
xprt;in description of a coffin: way of dressing a coffin
xprw;farming implement
xprw;to settle on
xpr-wr;to pass through, to drive through
xpr-nxnw;to read ritual
xpr-HAt;standard
xprj;amulet of gold
xprj;door
xprj;Waters in the 3 Gau of Lower Egypt
xprj;product, color
xprjjw;something made of precious metal: an amulet
xprw;goddess
xprwt;disease in the head
xprr;god
xprS;Goddess
xpS;Chons
xpS;stink
xpS;officially used plant
xpS;red or yellow mineral substance
xpS;bring to someone
xpS;harem
xpS;stand
xpS;face
xpS;in front of
xpSj;before, formerly
xpSwt;disease
xpt;patron goddess of Osiris
xpd;channel o ä
xpd;rejoice
xpdt;verb
xf;stop
xf;constellation
xf;officially used
xfAt;beginning of something
xfAAt;disease, sign of old age
xfa;be happy
xfa;farmland
xfa;northern Nubia
xfa;dean
xfat;deans
xfm;God of Athribis
xfnnwt;festival in 1 month of {Smw} time
xfxf;Noble
xfxf;Dean
xfxft;Dye
xfxfw;Baker
xfxfj;front
xft;front on
xft;front on
xft;south
xft;vestibule
xft-Hr;harem
xftj;name for crocodile
xftjt;Statü
xftj-Hr;Epithet of Osiris
xftj-Hr;channel
xftw;to be in front
xfd;go upstream
xm;drive south
xm;Lebanon inhabitant
xm;Epithet of Amon
xm;Epithet of the god of the dead
xm;Place where Karnak lies
xm;Epithet of Horus
xm;Epithet of Horus
xm;Epithet of Osiris
xm;god of Letopolis and Ombos
xmt;sacred snake in Edfu
xmw;taking the first place
xmwt;Epithet of Anubis
xm-mAA;Epithet of Osiris
xmAA;Tree garden
xmj;Name of Lebanon
xmj;Woman's title
xmj;Beginning of a country
xmjt;fabric for clothes
xmjt;the Nubians
xmjj;the gods of the antechamber
xmjw;before
xmjw;field
xmj-rdwj;orchard, forest
xma;to rejoice
xma;rejoice
xma;joy
xma;ropes
xmat;bend sticks
xmat;step, enter, walk
xma-n-qdj;leg
xmw;braid, weave, knot
xmw;the one with curved claws = crocodile
xmw;designation of a servant of Neith
xmwt;Job title
xmn;part of the barque "rowing benches
xmn;hole where the mast is inserted
xmnt;step in front of
xmntj;to be devoted to someone
xmnw;waters
xmnjw;seat
xmnw;stepped
xms;part of the front leg
xmt;street, alley
xmt;Syria
xmt;with someone
xmt;so, but, because
xmt;to fall, to cut down
xmt;necropolis
xmt;spit, spew
xmt;birdie
xmt;matter, need
xmtw;matter
xmtnj;cattle for slaughter
xmtnw;flame
xmtnw;fall to the roots = die
xmtnw;he said
xmt-nw-Dsfw;need of heart
xmtw;there, there
xmtnj-n-mstA;but after
xmT;after
xn;far
xn;mass grave
xn;or
xn;until eternity
xn;eternally
xn;still
xn;Food for the journey
xn;Wood type
xn;until eternity
xnt;eternally
xnt;Syrian
xnt;located at
xnt;myrrh
xntt;good quality of the official
xntt;cattle for slaughter
xn-bjn;tomb
xn-n-aba;troops
xn-n-wSb;enemy <<used euphemistically>>
xn-nfr;watercourse
xn-nfr;saying, oracle
xn-nhm;Sistrum
xnj;enemy
xnj;hostile
xnj;Lowacker
xnjt;Voice
xnj-n-Hsj;name of Seth
xnjjt;scream
xna;Wail
xnw;Cattle roar
xnw;thunder
xnw;noise maker
xnw;hostility
